Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Drawdown Limits,Maximum peak-to-trough decline tolerance.,Max Drawdown Threshold,"Limit for cumulative drawdown (e.g., -15%)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Single Name Limit,Max weight per issuer/security.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Concentration Limits,Position and sector exposure constraints.,Sector/Theme Limit,Max aggregate weight per sector/theme.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Horizon Length,"Short (=1Y), Medium (1–3Y), Long (=3Y)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Strategic Horizon,Planned evaluation period for investment outcomes.,Review Cadence,Frequency of formal performance/risk reviews.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Redemption Frequency,Daily/Weekly/Monthly/Quarterly redemption terms.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Liquidity Profile,Alignment of horizon with liquidity needs.,Notice Period,Required investor notice before redemption.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Investment Time Horizon Definition,"Determines strategic holding period and evaluation window for performance, risk, liquidity planning, and portfolio turnover.",Turnover Guidance,Expected trading activity compatible with horizon.,Target Turnover Ratio,Annual % of portfolio rotated.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Name,"Equity, Fixed Income, Cash, Real Estate, Commodities, FX, Alternatives, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Asset Class Catalogue,List of allowed asset classes.,Asset Class Status,Eligible / Restricted / Prohibited.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min–max ranges per asset class.,Min Allocation (%),Lower bound per asset class.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Allocation Bands,Strategic min–max ranges per asset class.,Max Allocation (%),Upper bound per asset class.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Permitted Instruments,"Futures, Options, Swaps, Forwards, CDS, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Asset Class Definition,"Specifies permissible asset classes consistent with objective, risk appetite, regulatory rules, and operational capabilities.",Derivatives Usage,Policy for derivatives within asset classes.,Purpose,"Hedging, Efficient Portfolio Management (EPM), Tactical Exposure."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Eligible Security Universe Definition,"Defines the investible set of securities within eligible asset classes, subject to liquidity, credit, market cap, domicile, ESG, and compliance screens.",Security Universe,Master list of approved securities.,Security Identifier,"ISIN, CUSIP, SEDOL, Ticker."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Macro Indicator Set,Curated metrics driving macro views.,Indicator Name,"CPI, GDP Growth, PMI, Unemployment Rate, Policy Rate, FX Index."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Macro Indicator Set,Curated metrics driving macro views.,Frequency,"Monthly, Quarterly, Ad-hoc (event-driven)."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Macro Indicator Set,Curated metrics driving macro views.,Latest Reading,Most recent published value.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Policy Assessment,Structured view of monetary/fiscal stance and trajectory.,Policy Stance,"Tightening, Easing, Neutral."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Policy Assessment,Structured view of monetary/fiscal stance and trajectory.,Horizon,"Expected duration of policy stance (e.g., 3–6 months)."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Macro View Note,Governance-grade narrative of macro outlook.,View Summary,Concise thesis linking indicators to asset pricing.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Macro Economic Research,"Systematic analysis of growth, inflation, rates, FX, policy, and systemic risk to establish top-down views that inform cross-asset positioning and theme formulation.",Macro View Note,Governance-grade narrative of macro outlook.,Confidence Level,Qualitative conviction (Low/Medium/High).
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Market Theme Identification,"Translation of macro views into investable themes with catalysts, KPIs, risk-reward framing, and preferred instruments across asset classes.",Investment Theme,"Named, time-bound thematic thesis.",Theme Name,"Standard label (e.g., “Quality Growth”, “Higher-for-Longer Rates”)."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Market Theme Identification,"Translation of macro views into investable themes with catalysts, KPIs, risk-reward framing, and preferred instruments across asset classes.",Investment Theme,"Named, time-bound thematic thesis.",Effective Period,Start/End dates for theme validity.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Market Theme Identification,"Translation of macro views into investable themes with catalysts, KPIs, risk-reward framing, and preferred instruments across asset classes.",Investment Theme,"Named, time-bound thematic thesis.",Primary Catalyst,Economic/policy/industry triggers supporting the theme.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Performance Report Package,Structured data and exhibits for reporting.,Period Coverage,Start/end dates and lookbacks.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Performance Report Package,Structured data and exhibits for reporting.,Basis & Method,"Gross/net, linking method, benchmark used."
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Commentary Note,Version-controlled narrative content.,Key Drivers,Top contributors/detractors with bps.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Commentary Note,Version-controlled narrative content.,Outlook Statement,Forward-looking view (policy-compliant).
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Commentary Note,Version-controlled narrative content.,Compliance Flags,Language checks (balanced/no guarantees).
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Narrative Library,Repository of client-tailored narratives.,Client ID,Portfolio/account/share class reference.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Narrative Library,Repository of client-tailored narratives.,Narrative Version,Version tag/date for the narrative.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Communication Package,Aggregated output per audience.,Channel,Client/Distributor/Internal/Public.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Communication Package,Aggregated output per audience.,Entitlement Level,Public/Institutional/Confidential.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Communication Package,Aggregated output per audience.,Delivery Schedule,Cadence and cut-off times.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Disclosure Catalogue,Required statements and calculation references.,Regulation Reference,UCITS/KIID/PRIIPs/SFDR/local rules.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Disclosure Catalogue,Required statements and calculation references.,Methodology Note,Calculation basis and lookbacks disclosed.
Performance Attribution,Reporting and Stakeholder Communication,"Produces and disseminates performance reports, attribution summaries, and narratives to clients, regulators, and internal stakeholders; ensures compliance and consistency across channels.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Disclosure Catalogue,Required statements and calculation references.,Risk Warning Set,Standardized risk messages included.
